,label,sentence
6069,shame,This is an event I will never forget. I am considered a good mimic. This particular day we were waiting for a professor to take her class. This professor had a peculiar accent and a very horrible way of lecturing and to top it all we had this class at the fag end of the day. So this particular day I got into my element and started imitating the professor, and the professor entered the class right in the middle of it . I was unaware of her presence, some of my friends tried to warn me but it was of no avail as I was too engrossed in mimicking Then I suddenly noticed the silence and turned around to see her entering the class. I do not know till today if she actually saw what I had been doing or she had completely ignored it. Through out that lecture I died of shame. All the more shameful was the fact that she gave me a character certificate.
4175,fear,Fights that I see in the middle of the street, robberies, fear of darkness when going home.
225,joy,When I met an old school friend (school love) who works in Sk+vde.
1385,anger,I wanted to go to a friend of mine who had a party; at the moment I wanted to leave, my father said I couldn't go because he needed me for some work in the afternoon.
6713,joy,When I passed standard 8 exams I jumped, rolled over the ground.
5239,guilt,When I was scolded by my dad for bad behaviour
774,guilt,I had planned a trip to the South during Easter, together with a friend. She was very sorry when I changed my mind and decided not to go after all.
1242,guilt,The cat of my landlady escaped through the window which I had left open.
1808,fear,I was afraid before I went to the doctor's.
4995,sadness,The death of my guardian with whom I had stayed when I did my grade six.
2201,disgust,I was on a walk with my child when I met a drunk woman.
7261,joy,Talking with a nice girl.
6893,anger,South Korea cheating for gold medals.
2679,sadness,I saw a friend of mine who had suffered a very heavy contusion after an accident.
648,shame,The day after the night I drank too much at a party.
3530,anger,Most recently when the chairman at the New Zealand Rugby Union announced that the All Blacks' would accept the invitation of South Africa to play rugby in that country.
959,anger,When a girl left me.
7049,anger,I wanted to borrow lecture notes from a friend and he did not lend me them.
7331,joy,When I read the newspaper that morning I found my candidature number on the admission list of the Chinese university. I was satisfied and happy and the cumulative anxiety disappeared. I only wanted to cry out that I had succeeded.
1561,sadness,When my grandmother died.
1705,sadness,I had cared for a horse for 2 years. One day it was sold and I cried for several days because I was so sad.
2843,guilt,It happens to me quite often. I can not describe a particular case.
4793,disgust,When my best friend started getting involved in my private affairs.
2607,shame,When I tried to hide a fact from a person for irrelevant reasons and considered such an attitude childish.
6203,joy,I most joyous moment was the day I got my marks. I was very happy when I came to know about my marks at the M.Sc (part I) examination where I got 71.5%. This was the highest marks I have ever scored in my life.
743,anger,When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals.
3525,disgust,Watching a TV documentary on seal clubbing.
3897,sadness,When the mother of a good friend of mine died.
5063,fear,When I was at a boarding school at Lusaka, the Rhodesian soldiers came to bomb a house near our school and we saw the whole scene.
1578,fear,Car accident nearly occurred between us and drunk driver coming in opposite direction it missed us by approx 1 m and collided (after rolling twice midair) into nearby scrub.
5275,joy,When I passed successive exams to enter the school of medicine.
6365,fear,I was living with my brother and one day he went away on business and I was left alone to look after the house and the property. At night thieves came and wanted to break into the house.
2213,fear,When in a car accident where car was total wipe off (wipe out, or write off).
1376,joy,I won a car in a prize-competition. The moment I was informed about it, I felt joy.
742,fear,When I almost ran over a small boy who suddenly was in front of my car.
4754,joy,My girlfriend wrote to me telling me that she was four months pregnant and that I was responsible for the \damages\. This made me happy as I longed to have a child to call mine.
900,guilt,I often feel guilty, and it has to do with other people, e.g. if I haven't visited my older relatives for a while.
5868,shame,I did bad on a test I didn't study for.
4130,shame,A few days back I had to ask a professor a ridiculous question because I had lost at a game of cards and had to pay a forfeit.
6316,fear,When I came to know that my exams were on two successive days and that there was very little time (about 9-10 hours) to study in between.
91,joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends.
3575,guilt,That I didn't want my friend to leave on holiday for 10 days because I thought I would miss him. I was constantly trying to persuade him.
3885,shame,I was catched when, as a little girl, I played tricks. I was very startled then and wet my pants.
6916,disgust,A boy in my class talking too loud in the lecture.
1848,guilt,I was on a visit to friends who have a baby. The baby was crying in another room, but soon it became quieter and it seemed that it would fall asleep. I went into the room where the baby was lying - and it started crying again.
1807,joy,When we got a young dog.
6389,disgust,I was disgusted with my girlfriend's behaviour She was going out with other boys who were also my friends.
4486,shame,At the seaside, when a wave suddenly came and took off my bikini.
4134,anger,I felt angry when I saw on T.V the last slaughter of negroes in South Africa.
6757,guilt,I felt guilty because I stole some sweets from my father's grocery. When he asked me who stole the sweets I told him it was my brother who stole the sweets and he was scolded.
3831,joy,Sitting alone in a quiet room concentrating on things happening around me which pleases me.
3713,joy,When my boyfriend once again told me that he loved me after a period in which he felt very depressive.
2411,joy,It was when a friend took me to a place and gave me as a gift my astrological map with the explanations of a psychologist.
2784,fear,Few years ago my father was very ill. He stayed at a hospital for a long time. Then I experienced that terrible feeling that I might lose him.
1363,guilt,When I betrayed my former girlfriend.
2052,anger,A person ignored my advice, did not pay any attention to what was saying. She acted as though I wasn't even there. We were doing group work so everybody had the right to speak yet she just ignored me. She made me feel insignificant.
246,joy,An ex-colleague asked me if I was interested in working in their accounts bureau. They needed \clever people\ and he had \immediately thought of me.\
